
                  X               _temp_1     

                0.                11.1856E-03 
              141.422E-03         11.2372E-03 
              282.842E-03         11.2888E-03 
              989.949E-03         11.5552E-03 
                1.69706           11.8497E-03 
                2.40416           12.1883E-03 
                3.11127           12.5933E-03 
                3.81838           13.0908E-03 
                4.52548           13.7075E-03 
                5.23259           14.4608E-03 
                5.26087           14.4936E-03 
                5.9397            15.3463E-03 
                5.99626           15.4217E-03 
                6.6468            16.337E-03  
                6.73166           16.4603E-03 
                7.35391           17.3868E-03 
                7.46705           17.5552E-03 
                8.06102           18.4309E-03 
                8.20244           18.6306E-03 
                8.76813           19.3822E-03 
                8.93783           19.5834E-03 
                9.47523           20.1287E-03 
                9.67322           20.28E-03   
               10.1823            20.5224E-03 
               10.4086            20.5403E-03 
               10.8894            20.3631E-03 
               11.144             20.1082E-03 
               11.5966            19.2641E-03 
               11.8794            18.4178E-03 
               12.2722            16.7215E-03 
               12.6042            15.0013E-03 
               12.9479            13.0507E-03 
               13.329             10.9622E-03 
               13.6236             9.48443E-03
               14.0537             7.53685E-03
               14.2993             6.55101E-03
               14.7785             4.82415E-03
               14.975              4.20292E-03
               15.5033             2.72054E-03
               15.6506             2.36626E-03
               16.2281             1.21131E-03
               16.3263             1.05856E-03
               16.9529           307.177E-06  
               17.002            268.038E-06  
               17.6777             0.         




